"season","team","wins","losses","ties","playoffs","game_type","probability_to_make_playoffs","off_epa","def_epa","total_epa"
2010,"HOU",6,10,0,0,NA,"0.29",0.107623,0.141999,-0.034376
2010,"IND",10,6,0,1,"WC","83.60",0.094785,0.012304,0.082481
2010,"JAX",8,8,0,0,NA,"10.77",0.018059,0.120802,-0.102743
2010,"KC",10,6,0,1,"WC","83.60",0.030664,-0.02677,0.057434
2010,"MIA",7,9,0,0,NA,"1.82",-0.06865,-0.026794,-0.041856
2010,"MIN",6,10,0,0,NA,"0.29",-0.110841,-0.054106,-0.056735
2010,"NE",14,2,0,1,"DIV","99.99",0.190751,-0.010833,0.201584
2010,"NO",11,5,0,1,"WC","97.07",0.039128,-0.044149,0.083277
2010,"NYG",10,6,0,0,NA,"83.60",-0.005172,-0.101893,0.096721
2010,"NYJ",11,5,0,1,"CON","97.07",-0.017965,-0.070216,0.052251
2010,"OAK",8,8,0,0,NA,"10.77",NA,NA,NA
2010,"PHI",10,6,0,1,"WC","83.60",0.076843,0.001229,0.075614
2010,"PIT",12,4,0,1,"SB","99.54",0.035428,-0.121905,0.157333
2010,"SD",9,7,0,0,NA,"43.96",NA,NA,NA
2010,"SEA",7,9,0,1,"DIV","1.82",-0.110747,0.038524,-0.149271
2010,"SF",6,10,0,0,NA,"0.29",-0.054702,-0.041801,-0.012901
2010,"STL",7,9,0,0,NA,"1.82",NA,NA,NA
2010,"TB",10,6,0,0,NA,"83.60",0.040979,-0.006312,0.047291
2010,"TEN",6,10,0,0,NA,"0.29",-0.017199,0.000754,-0.017953
2010,"WAS",6,10,0,0,NA,"0.29",-0.080064,0.020426,-0.10049
2011,"ARI",8,8,0,0,NA,"10.77",-0.078639,-0.009514,-0.069125
2011,"ATL",10,6,0,1,"WC","83.60",0.045081,-0.035502,0.080583
2011,"BAL",12,4,0,1,"CON","99.54",0.04236,-0.127261,0.169621
2011,"BUF",6,10,0,0,NA,"0.29",0.000361,0.056997,-0.056636
2011,"CAR",6,10,0,0,NA,"0.29",0.10319,0.109331,-0.00614099999999999
2011,"CHI",8,8,0,0,NA,"10.77",-0.108898,-0.0743,-0.034598
2011,"CIN",9,7,0,1,"WC","43.96",-0.030596,-0.048996,0.0184
2011,"CLE",4,12,0,0,NA,"0.01",-0.087832,0.008229,-0.096061
2011,"DAL",8,8,0,0,NA,"10.77",0.046799,0.003357,0.043442
2011,"DEN",8,8,0,1,"DIV","10.77",-0.088317,0.005244,-0.093561
2011,"DET",10,6,0,1,"WC","83.60",0.054916,-0.063677,0.118593
2011,"GB",15,1,0,1,"DIV","100.00",0.23946,0.022591,0.216869
2011,"HOU",10,6,0,1,"DIV","83.60",0.023691,-0.108467,0.132158
2011,"IND",2,14,0,0,NA,"0.00",-0.130182,0.051168,-0.18135
2011,"JAX",5,11,0,0,NA,"0.04",-0.174432,-0.065838,-0.108594
2011,"KC",7,9,0,0,NA,"1.82",-0.094518,-0.013635,-0.080883
2011,"MIA",6,10,0,0,NA,"0.29",-0.033786,-0.019981,-0.013805
2011,"MIN",3,13,0,0,NA,"0.00",-0.052177,0.041839,-0.094016
